GICDeviceID,Latitude,Longitude
10052,44.9,-97
10064,41.8,-88.2
10065,41.8,-87.8
10066,41.6,-87.9
10067,42.1,-87.9
10068,42,-88.2
10069,41.9,-87.7
10071,42.2,-88.9
10072,42.2,-88.9
10073,41.6,-87.7
10074,41.2,-87.9
10075,41.7,-87.5
10076,41.8,-88
10094,41.9,-72.5
10095,41.7,-72.2
10096,41.8,-72.6
10097,41.4,-72.1
10098,41.4,-72.1
10099,41.4,-73.4
10100,41.6,-72.9
10103,38.6,-121.3
10222,40.2,-75.3
10223,32.9,-115.7
10224,40.2,-75.3
10229,43.6,-92.7
10232,45,-92.8
10233,47.6,-122.3
10237,33.7,-84.9
10238,31.5,-83.5
10239,31.3,-81.7
10253,47.5,-116.2
10254,42.8,-82.5
10255,45.7,-94.7
10265,43.6,-116.3
10266,42.8,-114.4
10297,46.8,-92.3
10298,43.4,-88
10299,46.6,-87.4
10300,46.6,-87.4
10301,44,-88.6
10302,44.2,-88.1
10303,44.8,-89.7
10304,44.8,-89.7
10306,44.8,-88.2
10307,44.4,-88.4
10308,42.5,-89.1
10309,45.8,-88
10310,43,-89
10311,43,-89
10312,43,-89
10313,44.5,-89.6
10314,44.5,-89.6
10315,44.5,-89.6
10316,43.7,-88.5
10317,43.7,-88.5
10318,44.4,-88.7
10321,43.1,-88
10322,43.3,-89.4
10336,44.8,-91.5
10338,44.8,-91.5
10339,43.7,-95.7
10340,43.7,-95.7
10341,45,-93.5
10342,45,-93.5
10343,47.9,-97.1
10344,47.9,-97.1
10345,47.9,-97.1
10347,47.9,-97.1
10348,45.5,-94.3
10349,44.8,-93.6
10350,44.8,-93.6
10351,44.8,-93.6
10352,44.8,-93.6
10353,45.4,-93.9
10354,45.9,-91.5
10355,44.2,-94
10356,44.2,-94
10357,47.7,-117.5
10358,38.7,-121.2
10389,38.3,-87.4
10397,39.1,-78.3
10398,41.1,-74.2
10586,34,-118.5
10587,46.4,-117
10591,35.8,-106.1
10592,43.2,-84.5
10603,42.6,-83
10605,45.3,-122.6
10606,41.3,-72.9
10607,41.3,-72.9
10608,41.2,-73.2
10609,41.2,-73.2
10611,39.6,-92.6
10612,30.5,-87.2
10613,29.6,-81.6
10614,29.6,-81.6
10615,29.6,-81.6
10616,29.6,-81.6
10617,28.8,-81.3
10618,38.3,-86.2
10619,38.3,-86.2
